t,x,y
0.0000000,0.1182975,-0.0580504
0.0336918,0.1139730,-0.0625182
0.0673835,0.1066365,-0.0728757
0.1010753,0.0988684,-0.0810753
0.1347670,0.0893740,-0.0888434
0.1684588,0.0807428,-0.0953169
0.2021505,0.0748415,-0.0982271
0.2358423,0.0732173,-0.0992209
0.2695341,0.0758412,-0.0980679
0.3032258,0.0820361,-0.0946802
0.3369176,0.0899875,-0.0893583
0.3706093,0.0983733,-0.0823794
0.4043011,0.1052667,-0.0755647
0.4379928,0.1097547,-0.0703256
0.4716846,0.1119345,-0.0673815
0.5053763,0.1119398,-0.0674662
0.5390681,0.1096709,-0.0704338
0.5727599,0.1052283,-0.0755111
0.6064516,0.0991650,-0.0814524
0.6401434,0.0922619,-0.0871752
0.6738351,0.0862471,-0.0915948
0.7075269,0.0819748,-0.0943720
0.7412186,0.0803981,-0.0954037
0.7749104,0.0815830,-0.0946739
0.8086022,0.0854332,-0.0921589
0.8422939,0.0907838,-0.0884339
0.8759857,0.0964699,-0.0836753
0.9096774,0.1018591,-0.0790097
0.9433692,0.1054324,-0.0750909
0.9770609,0.1073615,-0.0728832
1.0107530,0.1074377,-0.0727595
1.0444440,0.1057610,-0.0746391
1.0781360,0.1025123,-0.0779012
1.1118280,0.0981238,-0.0820971
1.1455200,0.0932766,-0.0864003
1.1792110,0.0888009,-0.0897845
1.2129030,0.0856683,-0.0920786
1.2465950,0.0842517,-0.0928575
1.2802870,0.0848641,-0.0924047
1.3139780,0.0874289,-0.0907354
1.3476700,0.0914145,-0.0878490
1.3813620,0.0957909,-0.0842686
1.4150540,0.0997106,-0.0807771
1.4487460,0.1026143,-0.0777487
1.4824370,0.1043639,-0.0760067
1.5161290,0.1045824,-0.0758076
1.5498210,0.1033263,-0.0770400
1.5835130,0.1008897,-0.0795608
1.6172040,0.0976094,-0.0826840
1.6508960,0.0938585,-0.0857371
1.6845880,0.0904900,-0.0884797
1.7182800,0.0880280,-0.0902450
1.7519710,0.0870050,-0.0909578
1.7856630,0.0874813,-0.0906655
1.8193550,0.0894145,-0.0894281
1.8530470,0.0922280,-0.0871809
1.8867380,0.0956011,-0.0845025
1.9204300,0.0988214,-0.0818409
1.9541220,0.1011572,-0.0794540
