t,x,y
0.0000000,0.0895472,-0.0891662
0.0337037,0.0887747,-0.0898300
0.0674074,0.0891526,-0.0896227
0.1011111,0.0906378,-0.0886455
0.1348148,0.0929724,-0.0867744
0.1685185,0.0956043,-0.0846416
0.2022222,0.0981513,-0.0824687
0.2359259,0.1001623,-0.0806168
0.2696296,0.1012629,-0.0795138
0.3033333,0.1013924,-0.0793745
0.3370370,0.1004780,-0.0802376
0.3707407,0.0988375,-0.0817759
0.4044444,0.0942034,-0.0856178
0.4381481,0.0920648,-0.0873873
0.4718519,0.0905736,-0.0885782
0.5055556,0.0899121,-0.0890426
0.5392593,0.0901548,-0.0888405
0.5729630,0.0913672,-0.0880458
0.6066667,0.0932785,-0.0866452
0.6403704,0.0954094,-0.0848813
0.6740741,0.0974376,-0.0831327
0.7077778,0.0990213,-0.0816541
0.7414815,0.0999839,-0.0807558
0.7751852,0.1001281,-0.0805557
0.8088889,0.0995178,-0.0811669
0.8425926,0.0981645,-0.0824539
0.8762963,0.0964773,-0.0839479
0.9100000,0.0945294,-0.0856287
0.9437037,0.0926561,-0.0870380
0.9774074,0.0914491,-0.0880485
1.0111110,0.0908634,-0.0885061
1.0448150,0.0911165,-0.0882434
1.0785190,0.0920266,-0.0875396
1.1122220,0.0934405,-0.0863312
1.1459260,0.0951671,-0.0849320
1.1796300,0.0968301,-0.0834353
1.2133330,0.0981323,-0.0822428
1.2470370,0.0989179,-0.0815484
1.2807410,0.0989105,-0.0814497
1.3144440,0.0983214,-0.0819681
1.3481480,0.0972695,-0.0830276
1.3818520,0.0958302,-0.0843321
1.4155560,0.0943214,-0.0855914
1.4492590,0.0928480,-0.0867895
1.4829630,0.0917503,-0.0874987
1.5166670,0.0913335,-0.0879163
1.5503700,0.0915989,-0.0877630
1.5840740,0.0924288,-0.0870944
1.6177780,0.0937008,-0.0861453
1.6514810,0.0950719,-0.0848621
1.6851850,0.0964750,-0.0837521
1.7188890,0.0976152,-0.0828126
1.7525930,0.0982030,-0.0823696
1.7862960,0.0983127,-0.0822750
1.8200000,0.0978143,-0.0826638
1.8537040,0.0968368,-0.0834293
1.8874070,0.0956021,-0.0844428
1.9211110,0.0943465,-0.0854188
1.9548150,0.0931137,-0.0864649
1.9885190,0.0924138,-0.0871286
2.0222220,0.0921762,-0.0873984
2.0559260,0.0924500,-0.0872819
2.0896300,0.0932342,-0.0867384
2.1233330,0.0942463,-0.0858442
2.1570370,0.0953799,-0.0848065
2.1907410,0.0964680,-0.0839014
2.2244440,0.0973691,-0.0831868
2.2581480,0.0978409,-0.0827225
2.2918520,0.0978177,-0.0825947
2.3255560,0.0974221,-0.0829741
2.3592590,0.0966967,-0.0836638
2.3929630,0.0957204,-0.0845932
2.4266670,0.0946368,-0.0855521
2.4603700,0.0938324,-0.0863078
2.4940740,0.0932049,-0.0869205
2.5277780,0.0930535,-0.0870850
2.5614810,0.0932276,-0.0869773
2.5951850,0.0939151,-0.0864488
2.6288890,0.0947893,-0.0857903
2.6625930,0.0957828,-0.0849116
2.6962960,0.0966794,-0.0841390
2.7300000,0.0973088,-0.0835066
2.7637040,0.0977126,-0.0831015
2.7974070,0.0976851,-0.0831424
2.8311110,0.0972565,-0.0835243
2.8648150,0.0966541,-0.0840191
2.8985190,0.0958380,-0.0846941
2.9322220,0.0949812,-0.0854753
2.9659260,0.0942425,-0.0861140
2.9996300,0.0937283,-0.0864135
3.0333330,0.0934149,-0.0865544
3.0670370,0.0935578,-0.0864166
3.1007410,0.0940454,-0.0860725
3.1344440,0.0947764,-0.0854748
3.1681480,0.0956159,-0.0848766
3.2018520,0.0963590,-0.0842314
3.2355560,0.0970145,-0.0837486
3.2692590,0.0971446,-0.0834891
3.3029630,0.0970212,-0.0834252
3.3366670,0.0966623,-0.0837031
3.3703700,0.0959844,-0.0841931
3.4040740,0.0952893,-0.0848235
3.4377780,0.0945673,-0.0853573
3.4714810,0.0938524,-0.0859938
3.5051850,0.0935655,-0.0861893
3.5388890,0.0934565,-0.0863571
3.5725930,0.0936053,-0.0862639
3.6062960,0.0940315,-0.0859997
3.6400000,0.0947311,-0.0854587
3.6737040,0.0953983,-0.0848953
3.7074070,0.0959091,-0.0844546
3.7411110,0.0962731,-0.0841434
3.7748150,0.0963846,-0.0839931
3.8085190,0.0964574,-0.0840055
